"year","price_in_euro","power_ps","transmission_type","fuel_type","fuel_consumption_l_100km","mileage_in_km","color_blue","color_silver","color_red","color_grey","color_black","color_white"
2015,6008,131,1,1,7.4,220000,0,0,1,0,0,0
2015,13990,160,1,1,5.8,120000,0,0,1,0,0,0
2015,20755,160,0,1,6.3,49900,0,0,1,0,0,0
2015,16900,203,0,1,7.3,71549,0,0,1,0,0,0
2015,22170,150,1,0,4.2,103778,0,0,1,0,0,0
2015,12498,160,1,1,5.8,126268,0,0,1,0,0,0
2015,16950,203,0,1,7.3,41522,0,0,1,0,0,0
2015,11990,160,1,1,5.9,57800,0,0,1,0,0,0
2015,22980,179,0,0,4.6,82062,0,0,1,0,0,0
2015,7300,150,0,0,4.6,108000,0,0,1,0,0,0
2015,27900,179,0,0,4.9,129000,0,0,0,0,1,0
2015,9699,179,1,0,4.5,171003,0,0,0,0,1,0
2015,13950,160,1,1,6,100000,0,0,0,0,1,0
2015,14890,179,1,0,4.5,106000,0,0,0,0,1,0
2015,11550,179,1,0,4.5,48000,0,0,0,0,1,0
2015,4799,160,0,1,6.3,132000,0,0,0,0,1,0
2015,9000,160,1,1,6,97655,0,0,0,0,1,0
2015,13470,150,1,0,4.5,161000,0,0,0,0,1,0
2015,14680,179,0,0,4.9,137500,0,0,0,0,1,0
2015,17840,179,0,0,5.3,79640,0,0,0,0,1,0
2015,17940,203,0,1,7.4,75223,0,0,0,0,1,0
2015,15799,179,0,0,5.3,148550,0,0,0,0,1,0
2015,14890,150,0,0,4.9,96692,0,0,0,0,1,0
2015,9600,116,1,0,4.3,200724,0,0,0,0,1,0
2015,10950,150,1,0,4.5,222000,0,0,0,0,1,0
2015,17600,203,0,1,7.5,110827,0,0,0,0,1,0
2015,18990,239,0,1,7.6,102067,0,0,0,0,1,0
2015,9750,120,1,0,3.8,203816,0,0,0,0,1,0
2015,17900,179,0,0,5.4,124476,0,0,0,0,1,0
2015,18990,160,1,1,6,97523,0,0,0,0,1,0
2015,19440,150,1,0,4.5,66000,0,0,0,0,1,0
2015,17890,160,1,1,6,94392,0,0,0,0,1,0
2015,18890,160,1,1,6,94392,0,0,0,0,1,0
2015,15500,179,0,0,5.1,155000,0,0,0,0,1,0
2015,12000,179,0,0,4.9,177000,0,0,0,0,1,0
2015,9500,203,0,1,7.5,100000,0,0,0,0,1,0
2015,16990,241,0,1,7.3,106798,0,0,0,0,0,1
2015,15000,239,0,1,7.5,130258,0,0,0,0,0,1
2015,15500,179,0,0,5.3,121000,0,0,0,0,0,1
2015,19500,203,0,1,7.6,45750,0,0,0,0,0,1
2015,10199,116,1,0,4.3,125400,0,0,0,0,0,1
2015,10799,160,1,1,6.4,152000,0,0,0,0,0,1
2015,9990,211,0,0,5.2,267000,0,0,0,0,0,1
2015,10990,120,1,0,4.2,125000,0,0,0,0,0,1
2015,15370,160,1,1,5.8,75370,0,0,0,0,0,1
2015,15000,179,0,0,5.1,214619,0,0,0,0,0,1
2015,9499,150,1,0,4.5,195000,0,0,0,0,0,1
2015,17500,179,0,0,5.5,105000,0,0,0,0,0,1
2015,11600,120,1,0,4.2,141585,0,0,0,0,0,1
2015,12450,116,1,0,4.3,103400,0,0,0,0,0,1
2016,14650,209,0,0,5,164000,0,0,0,0,0,0
2016,15100,179,1,0,4.5,101550,1,0,0,0,0,0
2016,11600,150,1,0,4.8,176000,1,0,0,0,0,0
2016,10899,150,0,0,4.9,122178,1,0,0,0,0,0
2016,12500,120,1,0,3.6,130500,1,0,0,0,0,0
2016,15499,150,0,0,4.9,49000,1,0,0,0,0,0
2016,13785,150,0,0,4.9,125000,1,0,0,0,0,0
2016,11995,150,1,0,4.5,134000,1,0,0,0,0,0
2016,10990,150,1,0,4.8,181900,1,0,0,0,0,0
2016,16900,179,1,0,4.5,145404,1,0,0,0,0,0
