"year","price_in_euro","power_ps","transmission_type","fuel_type","fuel_consumption_l_100km","mileage_in_km","color_blue","color_silver","color_red","color_grey","color_black","color_white"
2011,13500,140,0,0,7.1,150000,1,0,0,0,0,0
2011,9500,110,1,0,5.3,165554,1,0,0,0,0,0
2011,14500,200,0,1,8.6,163000,1,0,0,0,0,0
2011,12950,150,1,1,6.7,147500,1,0,0,0,0,0
2011,10490,160,1,1,6.7,149280,1,0,0,0,0,0
2011,12500,140,1,0,5.3,138000,1,0,0,0,0,0
2011,11690,122,1,1,6.5,81366,1,0,0,0,0,0
2011,9480,122,1,1,6.5,139204,1,0,0,0,0,0
2011,12399,122,1,1,6.5,118546,1,0,0,0,0,0
2011,15470,170,1,0,6.3,103750,1,0,0,0,0,0
2011,9900,150,1,1,6.7,159000,1,0,0,0,0,0
2011,8750,122,1,1,6.5,234000,1,0,0,0,0,0
2011,9999,150,1,1,6.7,63000,0,0,0,1,0,0
2011,15950,160,1,1,6.7,113400,0,0,0,1,0,0
2011,7890,150,1,1,6.7,156500,0,0,0,1,0,0
2011,10990,140,1,0,5.3,114597,0,0,0,1,0,0
2011,13500,140,0,0,7.1,128056,0,0,0,1,0,0
2011,10950,140,1,0,6.4,162556,0,0,0,1,0,0
2011,9990,150,1,1,6.4,108850,0,0,0,1,0,0
2011,12990,140,1,0,5.3,149000,0,0,0,1,0,0
2011,10899,140,1,0,5.3,190700,0,0,0,1,0,0
2011,13700,140,0,0,6,134200,0,0,0,1,0,0
2011,8990,122,1,1,6.5,145037,0,0,0,1,0,0
2011,15990,179,0,1,8.6,93577,0,0,0,1,0,0
2011,11000,140,0,0,6.4,170000,0,0,0,0,1,0
2011,13490,179,1,1,8.5,114000,0,0,0,0,1,0
2011,8600,150,1,1,6.7,163000,0,0,0,0,1,0
2011,8499,160,1,1,6.7,158520,0,0,0,0,1,0
2011,9990,140,0,0,6.4,208000,0,0,0,0,1,0
2011,8680,140,0,0,6.4,117200,0,0,0,0,1,0
2011,11600,170,1,1,8.5,111000,0,0,0,0,1,0
2011,14499,140,1,0,5.8,114085,0,0,0,0,1,0
2011,13700,140,1,0,5.3,77000,0,0,0,0,1,0
2011,9450,170,1,0,6,233000,0,0,0,0,1,0
2011,11499,140,1,0,5.3,143000,0,0,0,0,1,0
2011,12400,140,1,0,6,126700,0,0,0,0,1,0
2011,13990,170,1,0,6.6,97200,0,0,0,0,1,0
2011,10990,150,1,1,8,159900,0,0,0,0,1,0
2011,11800,140,0,0,6.4,189990,0,0,0,0,1,0
2011,14890,179,0,1,8.6,106900,0,0,0,0,1,0
2011,14780,170,1,0,6,121300,0,0,0,0,1,0
2011,11900,170,1,0,6.6,185000,0,0,0,0,1,0
2011,8899,122,1,1,6.5,121000,0,0,0,0,1,0
2011,10600,140,1,0,6.4,170000,0,0,0,0,1,0
2011,10500,170,0,1,8.6,119000,0,0,0,0,1,0
2011,10990,140,0,0,6.2,210000,0,0,0,0,1,0
2011,8500,122,1,1,6.5,120750,0,0,0,0,1,0
2011,9990,140,1,0,6.4,168600,0,0,0,0,1,0
2011,10499,140,1,0,5.3,172000,0,0,0,0,1,0
2011,11750,140,1,0,6,156400,0,0,0,0,1,0
2011,11499,150,1,1,8,142000,0,0,0,0,1,0
2011,10480,179,1,1,8.5,154500,0,0,0,0,1,0
2011,8990,140,1,0,6.4,180815,0,0,0,0,1,0
2011,11400,170,1,0,6.3,170000,0,0,0,0,1,0
2011,13950,170,1,0,6,162000,0,0,0,0,1,0
2011,13299,122,1,1,6.5,119818,0,0,0,0,1,0
2011,11290,110,1,0,5.3,114900,0,0,0,0,1,0
2011,9690,140,1,0,5.3,200000,0,0,0,0,1,0
2011,8500,110,1,0,5.3,357276,0,1,0,0,0,0
2011,12450,140,0,0,6.4,120500,0,1,0,0,0,0
2011,9990,140,0,0,6.3,187050,0,1,0,0,0,0
2011,14990,140,1,0,5.8,165600,0,1,0,0,0,0
2011,12950,140,0,0,6.4,206000,0,1,0,0,0,0
2011,9980,140,0,0,6.3,240000,0,1,0,0,0,0
2011,9295,122,1,1,6.5,154200,0,1,0,0,0,0
2011,13300,140,0,0,7.1,141121,0,1,0,0,0,0
2011,11550,140,1,0,6.3,205500,0,1,0,0,0,0
2011,11899,140,1,0,5.3,124069,0,1,0,0,0,0
2011,11999,140,0,0,6.4,143910,0,1,0,0,0,0
2011,12900,160,1,1,6.7,148000,0,0,0,0,0,1
2011,8999,140,1,0,6.4,182996,0,0,0,0,0,1
2011,12999,140,1,0,5.3,115000,0,0,0,0,0,1
2011,8850,150,1,1,6.7,175000,0,0,0,0,0,1
2011,9199,160,1,1,7.6,170000,0,0,0,0,0,1
2011,11299,122,1,1,6.5,89560,0,0,0,0,0,1
2011,6700,140,1,0,6.3,164000,0,0,0,0,0,1
2011,7490,140,1,0,6,75000,0,0,0,0,0,1
