,해양수산부문 국가 온실가스 배출량 산정결과(1990-2016),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,1. 기간 : ,1990 ~ 2016년,,,,,,,,,,,,,,,,
,2. 단위 :,Gg CO2,,,,,,,,,,,,,,,,
,3. 산정방법 : ,[Gg CO2eq] = [Gg CO2] + [Gg CH4]ⅹ21 + [Gg N2O]ⅹ310,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,년도,CRF code,배출원, 합계 ,휘발유,실내등유,보일러등유,경유,경질중유,중유,방카C유,JETA-1,프로판,부탄,윤활유,기타제품,부생연료유1호,부생연료유2호
,2012,1.A.3.d.,  국내해운," 2,145.44 ", 0.00 , 0.02 , - , 556.30 , 295.72 , 52.62 ," 1,229.72 ", - , 1.81 , - , - , - , 9.23 , - 
,,1.C.b.,  국제해운," 25,458.63 ", - , 0.02 , - ," 1,520.41 ", 371.57 , 31.45 ," 23,535.17 ", - , - , - , - , - , - , - 
,,,어업," 2,442.48 ", 213.04 , 0.03 , - ," 2,093.48 ", 70.59 , 14.76 , 47.89 , - , 2.52 , - , - , - , 0.16 , - 
,,,기타, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
,2013,1.A.3.d.,  국내해운," 1,408.79 ", 0.00 , 0.00 , - , 590.48 , 242.41 , 71.32 , 499.62 , - , 4.73 , 0.15 , - , - , 0.07 , - 
,,1.C.b.,  국제해운," 24,861.12 ", - , 0.11 , - ," 1,661.81 ", 240.94 , 40.09 ," 22,918.18 ", - , - , - , - , - , - , - 
,,,어업," 2,608.73 ", 218.67 , - , - ," 2,260.36 ", 74.28 , 17.04 , 37.50 , - , 0.74 , - , - , - , 0.15 , - 
,,,기타, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
,2014,1.A.3.d.,  국내해운," 1,009.64 ", 2.62 , 0.09 , - , 433.63 , 173.25 , 82.25 , 310.96 , - , 1.25 , - , - , - , 0.14 , 5.44 
,,1.C.b.,  국제해운," 25,375.62 ", - , 2.27 , - ," 1,941.26 ", 234.33 , 27.53 ," 23,170.22 ", - , - , - , - , - , - , - 
,,,어업," 2,403.13 ", 211.40 , - , - ," 2,086.76 ", 48.88 , 16.43 , 33.86 , - , 5.50 , - , - , - , 0.29 , - 
,,,기타, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
,2015,1.A.3.d.,  국내해운," 1,639.74 ", 1.29 , 0.05 , - , 699.39 , 248.92 , 89.97 , 584.45 , - , 4.89 , - , - , - , 0.01 , 10.78 
,,1.C.b.,  국제해운," 28,075.08 ", - , 3.29 , - ," 2,972.15 ", 227.93 , 21.86 ," 24,849.84 ", - , 0.01 , - , - , - , - , - 
,,,어업," 2,717.14 ", 222.57 , - , - ," 2,392.81 ", 40.40 , 16.31 , 38.28 , - , 6.63 , - , - , - , 0.14 , - 
,,,기타, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
,2016,1.A.3.d.,  국내해운," 1,406.87 ", 20.72 , 0.08 , - , 611.51 , 284.10 , 87.49 , 397.64 , - , 5.34 , - , - , - , - , - 
,,1.C.b.,  국제해운," 31,610.57 ", - , 2.42 , - ," 2,798.43 ", 193.22 , 21.83 ," 28,594.65 ", - , 0.01 , - , - , - , - , - 
,,,어업," 2,888.75 ", 217.46 , - , - ," 2,589.08 ", 20.10 , 15.77 , 38.73 , - , 7.53 , - , - , - , 0.08 , - 
,,,기타, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
